252,10252,Katriinan sairaala,Katriinankuja,,Uusimaa,,,,,,yes,,60.346411100000005,24.873276899999997
253,10253,Kaarinan pääterveysasema,Voivalantie,,Southwest Finland,,,,,,,,60.40715720000001,22.3747343
254,10254,Ulvilan terveysasema,,,Satakunta,,,,,,,,61.4325172,21.887161499999998
255,10255,Jukolan terveysasema,Eeronkuja,,Kanta-Häme,,,,,,,,60.983354500000004,24.4189193
256,10256,Ylöjärven terveyskeskus,Mikkolantie,,Pirkanmaa,,,,,,yes,,61.5475787,23.598849800000004
257,10257,Itäinen lähiklinikka,Alasenkatu,,Päijänne Tavastia,,,,,,,,60.9999014,25.7568003
258,10258,Keltakankaan terveysasema,Sairaalankaari,,Kymenlaakso,,,,,,yes,,60.7463458,26.8326846
259,10259,Puumalan terveyskeskus,,,South Karelia,,,,,,,,61.5199946,28.1887853
260,10260,Juvan terveyskeskus,,,Southern Savonia,,,,,,yes,,61.893995,27.8647734
261,10261,Tarinan sairaala,,,Northern Savo,,,,,,no,,63.0675068,27.661865000000002
262,10262,Rantakylän terveysasema,,,North Karelia,,,,,,,,62.6142407,29.815921600000003
263,10263,Palokan terveysasema,Ritopohjantie,,Central Finland Region,,,+358 14 3366822,,,no,,62.2880922,25.7453836
264,10264,Lapuan Terveyskeskus,Sairaalantie,,South Ostrobothnia Region,,,,,,yes,,62.9682926,23.0424772
265,10265,Kvevlax hälsostation,,,Ostrobothnia Region,,,,,,no,,63.161554,21.8377623
266,10266,Himangan terveysasema,,,Central Ostrobothnia Region,,,,,,,,64.0587062,23.6455546
267,10267,Rantsilan terveyskeskus,,,North Ostrobothnia Region,,,,,,,,64.51111850000001,25.648462
268,10268,Hyrynsalmen terveyskeskus,,,Kainuu,,,,,,,,64.6812817,28.490966200000003
269,10269,Pulkamontien terveysasema,,,Lapland,,,,,,yes,,66.5195375,25.756545499999998
