133,10133,Opća bolnica Bjelovar,,Bjelovar,Bjelovarsko-bilogorska,43000,,,,,,,45.9023678,16.8480447
134,10134,Opća županijska bolnica Požega,Osječka ulica 107,Požega,Brodsko-posavska,34000,,+385 34 254 555,,,,,45.3444037,17.6980074
135,10135,Dom zdravlja Metković,,Metković,Dubrovačko-neretvanska,20350,,,,,,,43.0538695,17.6470336
136,10136,Poliklinika,,Tinjan,Istarska,52000,,,,,,,45.1846461,13.8057483
137,10137,Bolnica Švarča,,Karlovac,Karlovačka,47000,,,,,,,45.4775616,15.5397013
138,10138,Ordinacija opće medicine Ivanka Anđelić - Ištvanović,Rajići 4,Križevci,Koprivničko-križevačka,48260,,+385 48 692 210,,,,,46.050126,16.6271706
139,10139,Specijalna bolnica za medicinsku rehabilitaciju Krapinske Toplice,Ulica Ljudevita Gaja 2,Krapinske Toplice,Krapinsko-zagorska,49217,,+385 49 383 100,,,,,46.0950061,15.8370606
140,10140,OB Gospić,,Gospić,Ličko-senjska,53000,,,,,,,44.5439948,15.3619315
141,10141,Ambulanta Šenkovec,Ulica maršala Tita 44,Šenkovec,Međimurska,40000,,+38540 343 708,,,,,46.4033908,16.422037
142,10142,Specijalna bolnica za rehabilitaciju Bizovac,,Bizovac,Osječko-baranjska,31550,,,,,,,45.5836349,18.4608802
143,10143,Opća županijska bolnica Požega,Osječka ulica 107,Požega,Požeško-slavonska,34000,,+385 34 254 555,,,,,45.3444037,17.6980074
144,10144,Ambulanta Omišalj Dina,,,Primorsko-goranska,,,,,,No,,45.1951609,14.5588802
145,10145,Opća bolnica Šibenik,,Šibenik,Šibensko-kninska,22000,,,,,,,43.7328695,15.8987002
146,10146,Ambulanta Zibel,,Sisak,Sisačko-moslavačka,44000,,,,,,,45.4715308,16.3656185
147,10147,Ambulanta dr. Caktaš,,Dugopolje,Splitsko-dalmatinska,21204,,,,,,,43.5798985,16.5948187
148,10148,Opća bolnica Varaždin,Ulica Ivana Meštrovića 1,Varaždin,Varaždinska,42000,,,,,Yes,,46.3015338,16.3249182
149,10149,Opća bolnica Virovitica,,Virovitica,Virovitičko-podravska,33000,,,,,,,45.829114,17.3874821
150,10150,Ambulanta,,Privlaka,Vukovarsko-srijemska,32252,,,,,,,45.1926141,18.836997
151,10151,Specijalna bolnica za ortopediju,,Biograd na Moru,Zadarska,23210,,,,,,,43.9484945,15.4469084
152,10152,Borovje,Zdeslava Turića 1,Zagreb,Zagrebačka,10135,,,,,No,,45.7884165,16.0091076
